Car_Number,Arrive,Depart,Wait,Direction
719,21526,21586,60,N
722,21543,21586,43,S
725,21590,21590,0,N
727,21614,21614,0,S
728,21623,21630,7,E
726,21597,21630,33,W
729,21631,21632,1,W
730,21643,21644,1,E
732,21647,21648,1,W
734,21663,21664,1,E
735,21663,21664,1,W
736,21679,21680,1,W
738,21683,21684,1,E
733,21654,21690,36,N
731,21647,21690,43,S
739,21684,21692,8,N
737,21680,21692,12,S
744,21714,21714,0,N
743,21713,21714,1,S
741,21703,21736,33,E
740,21695,21736,41,W
745,21723,21738,15,E
742,21711,21738,27,W
746,21727,21740,13,W
747,21743,21744,1,E
748,21743,21744,1,W
751,21759,21760,1,W
752,21763,21764,1,E
754,21775,21776,1,W
756,21783,21784,1,E
757,21791,21792,1,W
749,21744,21796,52,N
750,21746,21796,50,S
753,21774,21798,24,N
755,21779,21798,19,S
759,21804,21804,0,N
761,21812,21812,0,S
764,21834,21834,0,N
758,21803,21840,37,E
760,21807,21840,33,W
762,21823,21842,19,E
763,21823,21842,19,W
766,21843,21844,1,E
765,21839,21844,5,W
768,21855,21856,1,W
769,21863,21864,1,E
771,21871,21872,1,W
773,21883,21884,1,E
774,21887,21888,1,W
770,21864,21900,36,N
767,21845,21900,55,S
775,21894,21902,8,N
772,21878,21902,24,S
778,21911,21912,1,S
781,21924,21924,0,N
784,21944,21944,0,S
776,21903,21946,43,E
777,21903,21946,43,W
780,21923,21948,25,E
779,21919,21948,29,W
783,21943,21950,7,E
782,21935,21950,15,W
785,21951,21952,1,W
787,21963,21964,1,E
788,21967,21968,1,W
790,21983,21984,1,E
791,21983,21984,1,W
793,21999,22000,1,W
794,22003,22004,1,E
786,21954,22006,52,N
789,21977,22006,29,S
792,21984,22008,24,N
795,22010,22010,0,S
796,22014,22014,0,N
802,22044,22044,0,N
800,22043,22044,1,S
798,22023,22050,27,E
797,22015,22050,35,W
801,22043,22052,9,E
799,22031,22052,21,W
803,22047,22054,7,W
804,22063,22064,1,E
805,22063,22064,1,W
808,22079,22080,1,W
809,22083,22084,1,E
810,22095,22096,1,W
811,22103,22104,1,E
806,22074,22110,36,N
807,22076,22110,34,S
812,22104,22112,8,N
813,22109,22112,3,S
817,22134,22134,0,N
818,22142,22142,0,S
815,22123,22156,33,E
814,22111,22156,45,W
819,22143,22158,15,E
816,22127,22158,31,W
820,22143,22160,17,W
821,22159,22162,3,W
822,22163,22164,1,E
825,22175,22176,1,W
826,22183,22184,1,E
827,22191,22192,1,W
829,22203,22204,1,E
830,22207,22208,1,W
823,22164,22216,52,N
824,22175,22216,41,S
828,22194,22218,24,N
831,22208,22218,10,S
834,22224,22224,0,N
836,22241,22242,1,S
838,22254,22254,0,N
832,22223,22260,37,E
833,22223,22260,37,W
837,22243,22262,19,E
835,22239,22262,23,W
840,22263,22264,1,E
839,22255,22264,9,W
841,22271,22272,1,W
843,22283,22284,1,E
845,22287,22288,1,W
846,22303,22304,1,E
847,22303,22304,1,W
844,22284,22320,36,N
842,22274,22320,46,S
849,22314,22322,8,N
848,22307,22322,15,S
853,22340,22340,0,S
855,22344,22344,0,N
851,22323,22366,43,E
850,22319,22366,47,W
854,22343,22368,25,E
852,22335,22368,33,W
857,22363,22370,7,E
856,22351,22370,19,W
858,22367,22372,5,W
861,22383,22384,1,E
862,22383,22384,1,W
863,22399,22400,1,W
864,22403,22404,1,E
867,22415,22416,1,W
868,22423,22424,1,E
860,22374,22426,52,N
859,22373,22426,53,S
865,22404,22428,24,N
866,22406,22428,22,S
870,22434,22434,0,N
871,22439,22440,1,S
876,22464,22464,0,N
872,22443,22470,27,E
869,22431,22470,39,W
874,22463,22472,9,E
873,22447,22472,25,W
875,22463,22474,11,W
878,22479,22480,1,W
879,22483,22484,1,E
881,22495,22496,1,W
882,22503,22504,1,E
884,22511,22512,1,W
885,22523,22524,1,E
887,22527,22528,1,W
880,22494,22530,36,N
877,22472,22530,58,S
886,22524,22532,8,N
883,22505,22532,27,S
888,22538,22538,0,S
891,22554,22554,0,N
894,22571,22572,1,S
889,22543,22576,33,E
890,22543,22576,33,W
893,22563,22578,15,E
892,22559,22578,19,W
895,22575,22580,5,W
896,22583,22584,1,E
898,22591,22592,1,W
899,22603,22604,1,E
901,22607,22608,1,W
903,22623,22624,1,E
904,22623,22624,1,W
897,22584,22636,52,N
900,22604,22636,32,S
902,22614,22638,24,N
905,22637,22638,1,S
908,22644,22644,0,N
911,22670,22670,0,S
913,22674,22674,0,N
907,22643,22680,37,E
906,22639,22680,41,W
910,22663,22682,19,E
909,22655,22682,27,W
914,22683,22684,1,E
912,22671,22684,13,W
915,22687,22688,1,W
917,22703,22704,1,E
918,22703,22704,1,W
920,22719,22720,1,W
921,22723,22724,1,E
923,22735,22736,1,W
919,22704,22740,36,N
916,22703,22740,37,S
922,22734,22742,8,N
924,22736,22742,6,S
928,22764,22764,0,N
930,22769,22770,1,S
925,22743,22786,43,E
926,22751,22786,35,W
927,22763,22788,25,E
929,22767,22788,21,W
931,22783,22790,7,E
932,22783,22790,7,W
934,22799,22800,1,W
936,22803,22804,1,E
937,22815,22816,1,W
938,22823,22824,1,E
940,22831,22832,1,W
942,22843,22844,1,E
933,22794,22846,52,N
935,22802,22846,44,S
939,22824,22848,24,N
